user_id,label,tweet_id
user_1,aggressor,657684957272387584
user_1,aggressor,657695791134416896
user_1,aggressor,656838718666493952
user_1,aggressor,657193317709565952
user_1,aggressor,657688224601632768
user_1,aggressor,657771833853411328
user_1,aggressor,657231280367673344
user_1,aggressor,657253568878157824
user_1,aggressor,656952531109724160
user_1,aggressor,657707551967027200
user_2,aggressor,663286416676274176
user_2,aggressor,663345753515945984
user_2,aggressor,663271094904754176
user_2,aggressor,663301981742592000
user_2,aggressor,663304166995968000
user_2,aggressor,663300853479018496
user_2,aggressor,663297196054347776
user_3,aggressor,683165798660206592
user_3,aggressor,683189274167095297
user_3,aggressor,683134555264528385
user_3,aggressor,683110668699086849
user_3,aggressor,683192428304662528
user_4,aggressor,737427866032295936
user_4,aggressor,737284416603492356
user_4,aggressor,737327198533623808
user_4,aggressor,737171166230511616
user_4,aggressor,737398925301145602
user_4,aggressor,737503355111542785
user_5,aggressor,736221944895438848
user_5,aggressor,736393315772424192
user_5,aggressor,736368657455042560
user_5,aggressor,736314307676360704
user_5,aggressor,736384763561410564
user_5,aggressor,736411187693428736
user_5,aggressor,736332926187655168
user_6,aggressor,661437605242884096
user_6,aggressor,659569051178520576
user_6,aggressor,660547771053834241
user_6,aggressor,659985038054936576
user_6,aggressor,659589884320043008
user_6,aggressor,659759833319649281
user_6,aggressor,660800654047371264
user_6,aggressor,659670490450108416
user_6,aggressor,661127499364044801
user_6,aggressor,661066413512241152
user_7,aggressor,661834134747226112
user_7,aggressor,660992048523313152
user_7,aggressor,662518632556163072
user_7,aggressor,663376275457855492
user_7,aggressor,659906470356623360
user_7,aggressor,659683073362173952
user_7,aggressor,662366102517899264
user_7,aggressor,661457045820989441
user_7,aggressor,659546183862493188
user_7,aggressor,664576685258448896
user_8,aggressor,660180643637260288
user_8,aggressor,660273354545364992
user_8,aggressor,660405525444608000
user_8,aggressor,660340136249442304
user_8,aggressor,660063941326860288
user_8,aggressor,659975252768755713
user_8,aggressor,660430372501499904
user_8,aggressor,659982219495129089
user_9,aggressor,674179812697628672
user_9,aggressor,674153266955988992
user_9,aggressor,674066260322201601
user_9,aggressor,674166114092343298
user_9,aggressor,674176964781936640
user_10,aggressor,717898750375567360
user_10,aggressor,717909034834112513
user_10,aggressor,717901849982951425
user_10,aggressor,717875144849395712
user_10,aggressor,717903619962511360
user_10,aggressor,717896409962295296
